Genome project	Gene stable ID
caenorhabditis_brenneri	WBGene00050882
caenorhabditis_brenneri	WBGene00138726
caenorhabditis_brenneri	WBGene00138727
caenorhabditis_brenneri	WBGene00138728
caenorhabditis_brenneri	WBGene00138729
caenorhabditis_brenneri	WBGene00138730
caenorhabditis_brenneri	WBGene00138731
caenorhabditis_brenneri	WBGene00138732
caenorhabditis_brenneri	WBGene00138733
caenorhabditis_brenneri	WBGene00138734
caenorhabditis_brenneri	WBGene00138735
caenorhabditis_brenneri	WBGene00138736
caenorhabditis_brenneri	WBGene00138737
caenorhabditis_brenneri	WBGene00138738
caenorhabditis_brenneri	WBGene00138739
caenorhabditis_brenneri	WBGene00138740
caenorhabditis_brenneri	WBGene00138742
caenorhabditis_brenneri	WBGene00138743
caenorhabditis_brenneri	WBGene00138744
caenorhabditis_brenneri	WBGene00138745
caenorhabditis_brenneri	WBGene00138746
caenorhabditis_brenneri	WBGene00138747
caenorhabditis_brenneri	WBGene00138748
caenorhabditis_brenneri	WBGene00138749
caenorhabditis_brenneri	WBGene00138750
caenorhabditis_brenneri	WBGene00138751
caenorhabditis_brenneri	WBGene00138752
caenorhabditis_brenneri	WBGene00138753
caenorhabditis_brenneri	WBGene00138754
caenorhabditis_brenneri	WBGene00138755
caenorhabditis_brenneri	WBGene00138756
caenorhabditis_brenneri	WBGene00138757
caenorhabditis_brenneri	WBGene00138758
caenorhabditis_brenneri	WBGene00138760
caenorhabditis_brenneri	WBGene00138761
caenorhabditis_brenneri	WBGene00138762
caenorhabditis_brenneri	WBGene00138763
caenorhabditis_brenneri	WBGene00138764
caenorhabditis_brenneri	WBGene00138765
caenorhabditis_brenneri	WBGene00138766
caenorhabditis_brenneri	WBGene00138767
caenorhabditis_brenneri	WBGene00138768
caenorhabditis_brenneri	WBGene00138769
caenorhabditis_brenneri	WBGene00138770
caenorhabditis_brenneri	WBGene00138771
caenorhabditis_brenneri	WBGene00138772
caenorhabditis_brenneri	WBGene00138773
caenorhabditis_brenneri	WBGene00138774
caenorhabditis_brenneri	WBGene00138775
caenorhabditis_brenneri	WBGene00138776
caenorhabditis_brenneri	WBGene00138777
caenorhabditis_brenneri	WBGene00138778
caenorhabditis_brenneri	WBGene00138779
caenorhabditis_brenneri	WBGene00138780
caenorhabditis_brenneri	WBGene00138781
caenorhabditis_brenneri	WBGene00138782
caenorhabditis_brenneri	WBGene00138783
caenorhabditis_brenneri	WBGene00138784
caenorhabditis_brenneri	WBGene00138785
caenorhabditis_brenneri	WBGene00138786
caenorhabditis_brenneri	WBGene00138787
caenorhabditis_brenneri	WBGene00138788
caenorhabditis_brenneri	WBGene00138789
caenorhabditis_brenneri	WBGene00138790
caenorhabditis_brenneri	WBGene00138791
caenorhabditis_brenneri	WBGene00138792
caenorhabditis_brenneri	WBGene00138793
caenorhabditis_brenneri	WBGene00138794
caenorhabditis_brenneri	WBGene00138795
caenorhabditis_brenneri	WBGene00138796
caenorhabditis_brenneri	WBGene00138797
caenorhabditis_brenneri	WBGene00138798
caenorhabditis_brenneri	WBGene00138799
caenorhabditis_brenneri	WBGene00138800
caenorhabditis_brenneri	WBGene00138801
caenorhabditis_brenneri	WBGene00138803
caenorhabditis_brenneri	WBGene00138804
caenorhabditis_brenneri	WBGene00138805
caenorhabditis_brenneri	WBGene00138806
caenorhabditis_brenneri	WBGene00138807
caenorhabditis_brenneri	WBGene00138808
caenorhabditis_brenneri	WBGene00138809
caenorhabditis_brenneri	WBGene00138810
caenorhabditis_brenneri	WBGene00138811
caenorhabditis_brenneri	WBGene00138812
caenorhabditis_brenneri	WBGene00138813
caenorhabditis_brenneri	WBGene00138814
caenorhabditis_brenneri	WBGene00138815
caenorhabditis_brenneri	WBGene00138816
caenorhabditis_brenneri	WBGene00138817
caenorhabditis_brenneri	WBGene00138818
caenorhabditis_brenneri	WBGene00138819
caenorhabditis_brenneri	WBGene00138820
caenorhabditis_brenneri	WBGene00138821
caenorhabditis_brenneri	WBGene00138823
caenorhabditis_brenneri	WBGene00138824
caenorhabditis_brenneri	WBGene00138825
caenorhabditis_brenneri	WBGene00138826
caenorhabditis_brenneri	WBGene00138827
caenorhabditis_brenneri	WBGene00138828
caenorhabditis_brenneri	WBGene00138829
caenorhabditis_brenneri	WBGene00138830
caenorhabditis_brenneri	WBGene00138831
caenorhabditis_brenneri	WBGene00138832
caenorhabditis_brenneri	WBGene00138833
caenorhabditis_brenneri	WBGene00138834
caenorhabditis_brenneri	WBGene00138835
caenorhabditis_brenneri	WBGene00138836
caenorhabditis_brenneri	WBGene00138837
caenorhabditis_brenneri	WBGene00138838
caenorhabditis_brenneri	WBGene00138839
caenorhabditis_brenneri	WBGene00138840
caenorhabditis_brenneri	WBGene00138841
caenorhabditis_brenneri	WBGene00138842
caenorhabditis_brenneri	WBGene00138843
caenorhabditis_brenneri	WBGene00138844
caenorhabditis_brenneri	WBGene00138845
caenorhabditis_brenneri	WBGene00138847
caenorhabditis_brenneri	WBGene00138848
caenorhabditis_brenneri	WBGene00138849
caenorhabditis_brenneri	WBGene00138850
caenorhabditis_brenneri	WBGene00138851
caenorhabditis_brenneri	WBGene00138852
caenorhabditis_brenneri	WBGene00138853
caenorhabditis_brenneri	WBGene00138854
caenorhabditis_brenneri	WBGene00138855
caenorhabditis_brenneri	WBGene00138856
caenorhabditis_brenneri	WBGene00138857
caenorhabditis_brenneri	WBGene00138858
caenorhabditis_brenneri	WBGene00138859
caenorhabditis_brenneri	WBGene00138860
caenorhabditis_brenneri	WBGene00138861
caenorhabditis_brenneri	WBGene00138862
caenorhabditis_brenneri	WBGene00138863
caenorhabditis_brenneri	WBGene00138864
caenorhabditis_brenneri	WBGene00138865
caenorhabditis_brenneri	WBGene00138866
caenorhabditis_brenneri	WBGene00138867
caenorhabditis_brenneri	WBGene00138868
caenorhabditis_brenneri	WBGene00138869
caenorhabditis_brenneri	WBGene00138870
caenorhabditis_brenneri	WBGene00138871
caenorhabditis_brenneri	WBGene00138872
caenorhabditis_brenneri	WBGene00138875
caenorhabditis_brenneri	WBGene00138876
caenorhabditis_brenneri	WBGene00138877
caenorhabditis_brenneri	WBGene00138878
caenorhabditis_brenneri	WBGene00138879
caenorhabditis_brenneri	WBGene00138880
caenorhabditis_brenneri	WBGene00138881
caenorhabditis_brenneri	WBGene00138882
caenorhabditis_brenneri	WBGene00138883
caenorhabditis_brenneri	WBGene00138884
caenorhabditis_brenneri	WBGene00138885
caenorhabditis_brenneri	WBGene00138886
caenorhabditis_brenneri	WBGene00138887
caenorhabditis_brenneri	WBGene00138888
caenorhabditis_brenneri	WBGene00138889
caenorhabditis_brenneri	WBGene00138890
caenorhabditis_brenneri	WBGene00138891
caenorhabditis_brenneri	WBGene00138892
caenorhabditis_brenneri	WBGene00138893
caenorhabditis_brenneri	WBGene00138894
caenorhabditis_brenneri	WBGene00138895
caenorhabditis_brenneri	WBGene00138896
caenorhabditis_brenneri	WBGene00138897
caenorhabditis_brenneri	WBGene00138898
caenorhabditis_brenneri	WBGene00138899
caenorhabditis_brenneri	WBGene00138900
caenorhabditis_brenneri	WBGene00138901
caenorhabditis_brenneri	WBGene00138902
caenorhabditis_brenneri	WBGene00138903
caenorhabditis_brenneri	WBGene00138904
caenorhabditis_brenneri	WBGene00138905
caenorhabditis_brenneri	WBGene00138906
caenorhabditis_brenneri	WBGene00138907
caenorhabditis_brenneri	WBGene00138908
caenorhabditis_brenneri	WBGene00138909
caenorhabditis_brenneri	WBGene00138910
caenorhabditis_brenneri	WBGene00138911
caenorhabditis_brenneri	WBGene00138912
caenorhabditis_brenneri	WBGene00138913
caenorhabditis_brenneri	WBGene00138915
caenorhabditis_brenneri	WBGene00138916
caenorhabditis_brenneri	WBGene00138917
caenorhabditis_brenneri	WBGene00138918
caenorhabditis_brenneri	WBGene00138919
caenorhabditis_brenneri	WBGene00138920
caenorhabditis_brenneri	WBGene00138921
caenorhabditis_brenneri	WBGene00138922
caenorhabditis_brenneri	WBGene00138923
caenorhabditis_brenneri	WBGene00138924
caenorhabditis_brenneri	WBGene00138925
caenorhabditis_brenneri	WBGene00138926
caenorhabditis_brenneri	WBGene00138927
caenorhabditis_brenneri	WBGene00138928
