Genome project	Gene stable ID
caenorhabditis_briggsae	WBGene00000307
caenorhabditis_briggsae	WBGene00000312
caenorhabditis_briggsae	WBGene00000324
caenorhabditis_briggsae	WBGene00000328
caenorhabditis_briggsae	WBGene00000329
caenorhabditis_briggsae	WBGene00000332
caenorhabditis_briggsae	WBGene00000333
caenorhabditis_briggsae	WBGene00000343
caenorhabditis_briggsae	WBGene00000365
caenorhabditis_briggsae	WBGene00023521
caenorhabditis_briggsae	WBGene00023522
caenorhabditis_briggsae	WBGene00023523
caenorhabditis_briggsae	WBGene00023524
caenorhabditis_briggsae	WBGene00023525
caenorhabditis_briggsae	WBGene00023526
caenorhabditis_briggsae	WBGene00023527
caenorhabditis_briggsae	WBGene00023528
caenorhabditis_briggsae	WBGene00023529
caenorhabditis_briggsae	WBGene00023530
caenorhabditis_briggsae	WBGene00023532
caenorhabditis_briggsae	WBGene00023533
caenorhabditis_briggsae	WBGene00023534
caenorhabditis_briggsae	WBGene00023535
caenorhabditis_briggsae	WBGene00023536
caenorhabditis_briggsae	WBGene00023537
caenorhabditis_briggsae	WBGene00023538
caenorhabditis_briggsae	WBGene00023539
caenorhabditis_briggsae	WBGene00023540
caenorhabditis_briggsae	WBGene00023541
caenorhabditis_briggsae	WBGene00023542
caenorhabditis_briggsae	WBGene00023543
caenorhabditis_briggsae	WBGene00023544
caenorhabditis_briggsae	WBGene00023545
caenorhabditis_briggsae	WBGene00023546
caenorhabditis_briggsae	WBGene00023547
caenorhabditis_briggsae	WBGene00023548
caenorhabditis_briggsae	WBGene00023549
caenorhabditis_briggsae	WBGene00023550
caenorhabditis_briggsae	WBGene00023551
caenorhabditis_briggsae	WBGene00023552
caenorhabditis_briggsae	WBGene00023553
caenorhabditis_briggsae	WBGene00023554
caenorhabditis_briggsae	WBGene00023555
caenorhabditis_briggsae	WBGene00023556
caenorhabditis_briggsae	WBGene00023557
caenorhabditis_briggsae	WBGene00023558
caenorhabditis_briggsae	WBGene00023559
caenorhabditis_briggsae	WBGene00023560
caenorhabditis_briggsae	WBGene00023561
caenorhabditis_briggsae	WBGene00023562
caenorhabditis_briggsae	WBGene00023564
caenorhabditis_briggsae	WBGene00023565
caenorhabditis_briggsae	WBGene00023566
caenorhabditis_briggsae	WBGene00023567
caenorhabditis_briggsae	WBGene00023568
caenorhabditis_briggsae	WBGene00023569
caenorhabditis_briggsae	WBGene00023570
caenorhabditis_briggsae	WBGene00023571
caenorhabditis_briggsae	WBGene00023572
caenorhabditis_briggsae	WBGene00023573
caenorhabditis_briggsae	WBGene00023574
caenorhabditis_briggsae	WBGene00023575
caenorhabditis_briggsae	WBGene00023576
caenorhabditis_briggsae	WBGene00023577
caenorhabditis_briggsae	WBGene00023578
caenorhabditis_briggsae	WBGene00023579
caenorhabditis_briggsae	WBGene00023580
caenorhabditis_briggsae	WBGene00023581
caenorhabditis_briggsae	WBGene00023582
caenorhabditis_briggsae	WBGene00023583
caenorhabditis_briggsae	WBGene00023584
caenorhabditis_briggsae	WBGene00023585
caenorhabditis_briggsae	WBGene00023586
caenorhabditis_briggsae	WBGene00023587
caenorhabditis_briggsae	WBGene00023588
caenorhabditis_briggsae	WBGene00023589
caenorhabditis_briggsae	WBGene00023590
caenorhabditis_briggsae	WBGene00023591
caenorhabditis_briggsae	WBGene00023592
caenorhabditis_briggsae	WBGene00023593
caenorhabditis_briggsae	WBGene00023594
caenorhabditis_briggsae	WBGene00023595
caenorhabditis_briggsae	WBGene00023596
caenorhabditis_briggsae	WBGene00023597
caenorhabditis_briggsae	WBGene00023598
caenorhabditis_briggsae	WBGene00023599
caenorhabditis_briggsae	WBGene00023600
caenorhabditis_briggsae	WBGene00023601
caenorhabditis_briggsae	WBGene00023602
caenorhabditis_briggsae	WBGene00023603
caenorhabditis_briggsae	WBGene00023604
caenorhabditis_briggsae	WBGene00023605
caenorhabditis_briggsae	WBGene00023606
caenorhabditis_briggsae	WBGene00023607
caenorhabditis_briggsae	WBGene00023608
caenorhabditis_briggsae	WBGene00023609
caenorhabditis_briggsae	WBGene00023610
caenorhabditis_briggsae	WBGene00023611
caenorhabditis_briggsae	WBGene00023612
caenorhabditis_briggsae	WBGene00023613
caenorhabditis_briggsae	WBGene00023614
caenorhabditis_briggsae	WBGene00023615
caenorhabditis_briggsae	WBGene00023616
caenorhabditis_briggsae	WBGene00023617
caenorhabditis_briggsae	WBGene00023618
caenorhabditis_briggsae	WBGene00023619
caenorhabditis_briggsae	WBGene00023620
caenorhabditis_briggsae	WBGene00023621
caenorhabditis_briggsae	WBGene00023622
caenorhabditis_briggsae	WBGene00023623
caenorhabditis_briggsae	WBGene00023624
caenorhabditis_briggsae	WBGene00023625
caenorhabditis_briggsae	WBGene00023626
caenorhabditis_briggsae	WBGene00023627
caenorhabditis_briggsae	WBGene00023628
caenorhabditis_briggsae	WBGene00023629
caenorhabditis_briggsae	WBGene00023630
caenorhabditis_briggsae	WBGene00023631
caenorhabditis_briggsae	WBGene00023632
caenorhabditis_briggsae	WBGene00023633
caenorhabditis_briggsae	WBGene00023634
caenorhabditis_briggsae	WBGene00023635
caenorhabditis_briggsae	WBGene00023636
caenorhabditis_briggsae	WBGene00023637
caenorhabditis_briggsae	WBGene00023638
caenorhabditis_briggsae	WBGene00023639
caenorhabditis_briggsae	WBGene00023640
caenorhabditis_briggsae	WBGene00023641
caenorhabditis_briggsae	WBGene00023642
caenorhabditis_briggsae	WBGene00023643
caenorhabditis_briggsae	WBGene00023644
caenorhabditis_briggsae	WBGene00023645
caenorhabditis_briggsae	WBGene00023646
caenorhabditis_briggsae	WBGene00023647
caenorhabditis_briggsae	WBGene00023648
caenorhabditis_briggsae	WBGene00023649
caenorhabditis_briggsae	WBGene00023650
caenorhabditis_briggsae	WBGene00023651
caenorhabditis_briggsae	WBGene00023652
caenorhabditis_briggsae	WBGene00023653
caenorhabditis_briggsae	WBGene00023654
caenorhabditis_briggsae	WBGene00023655
caenorhabditis_briggsae	WBGene00023656
caenorhabditis_briggsae	WBGene00023657
caenorhabditis_briggsae	WBGene00023658
caenorhabditis_briggsae	WBGene00023659
caenorhabditis_briggsae	WBGene00023660
caenorhabditis_briggsae	WBGene00023661
caenorhabditis_briggsae	WBGene00023662
caenorhabditis_briggsae	WBGene00023663
caenorhabditis_briggsae	WBGene00023664
caenorhabditis_briggsae	WBGene00023665
caenorhabditis_briggsae	WBGene00023666
caenorhabditis_briggsae	WBGene00023667
caenorhabditis_briggsae	WBGene00023668
caenorhabditis_briggsae	WBGene00023669
caenorhabditis_briggsae	WBGene00023670
caenorhabditis_briggsae	WBGene00023671
caenorhabditis_briggsae	WBGene00023672
caenorhabditis_briggsae	WBGene00023673
caenorhabditis_briggsae	WBGene00023674
caenorhabditis_briggsae	WBGene00023675
caenorhabditis_briggsae	WBGene00023676
caenorhabditis_briggsae	WBGene00023677
caenorhabditis_briggsae	WBGene00023678
caenorhabditis_briggsae	WBGene00023679
caenorhabditis_briggsae	WBGene00023680
caenorhabditis_briggsae	WBGene00023681
caenorhabditis_briggsae	WBGene00023682
caenorhabditis_briggsae	WBGene00023683
caenorhabditis_briggsae	WBGene00023684
caenorhabditis_briggsae	WBGene00023685
caenorhabditis_briggsae	WBGene00023686
caenorhabditis_briggsae	WBGene00023687
caenorhabditis_briggsae	WBGene00023688
caenorhabditis_briggsae	WBGene00023689
caenorhabditis_briggsae	WBGene00023690
caenorhabditis_briggsae	WBGene00023691
caenorhabditis_briggsae	WBGene00023692
caenorhabditis_briggsae	WBGene00023693
caenorhabditis_briggsae	WBGene00023694
caenorhabditis_briggsae	WBGene00023695
caenorhabditis_briggsae	WBGene00023696
caenorhabditis_briggsae	WBGene00023697
caenorhabditis_briggsae	WBGene00023698
caenorhabditis_briggsae	WBGene00023699
caenorhabditis_briggsae	WBGene00023700
caenorhabditis_briggsae	WBGene00023701
caenorhabditis_briggsae	WBGene00023702
caenorhabditis_briggsae	WBGene00023703
caenorhabditis_briggsae	WBGene00023704
caenorhabditis_briggsae	WBGene00023705
caenorhabditis_briggsae	WBGene00023706
caenorhabditis_briggsae	WBGene00023707
caenorhabditis_briggsae	WBGene00023708
caenorhabditis_briggsae	WBGene00023709
caenorhabditis_briggsae	WBGene00023710
caenorhabditis_briggsae	WBGene00023711
caenorhabditis_briggsae	WBGene00023712
caenorhabditis_briggsae	WBGene00023713
caenorhabditis_briggsae	WBGene00023714
caenorhabditis_briggsae	WBGene00023715
caenorhabditis_briggsae	WBGene00023716
caenorhabditis_briggsae	WBGene00023718
caenorhabditis_briggsae	WBGene00023719
caenorhabditis_briggsae	WBGene00023720
caenorhabditis_briggsae	WBGene00023721
caenorhabditis_briggsae	WBGene00023722
caenorhabditis_briggsae	WBGene00023723
caenorhabditis_briggsae	WBGene00023724
caenorhabditis_briggsae	WBGene00023725
caenorhabditis_briggsae	WBGene00023726
caenorhabditis_briggsae	WBGene00023727
caenorhabditis_briggsae	WBGene00023728
caenorhabditis_briggsae	WBGene00023729
caenorhabditis_briggsae	WBGene00023730
caenorhabditis_briggsae	WBGene00023731
caenorhabditis_briggsae	WBGene00023733
caenorhabditis_briggsae	WBGene00023734
caenorhabditis_briggsae	WBGene00023735
caenorhabditis_briggsae	WBGene00023737
caenorhabditis_briggsae	WBGene00023738
caenorhabditis_briggsae	WBGene00023739
caenorhabditis_briggsae	WBGene00023740
caenorhabditis_briggsae	WBGene00023741
caenorhabditis_briggsae	WBGene00023742
caenorhabditis_briggsae	WBGene00023743
caenorhabditis_briggsae	WBGene00023744
caenorhabditis_briggsae	WBGene00023745
caenorhabditis_briggsae	WBGene00023746
caenorhabditis_briggsae	WBGene00023747
caenorhabditis_briggsae	WBGene00023748
caenorhabditis_briggsae	WBGene00023749
caenorhabditis_briggsae	WBGene00023750
caenorhabditis_briggsae	WBGene00023751
caenorhabditis_briggsae	WBGene00023752
caenorhabditis_briggsae	WBGene00023753
caenorhabditis_briggsae	WBGene00023755
caenorhabditis_briggsae	WBGene00023756
