Genome project	Gene stable ID
caenorhabditis_elegans	WBGene00000001
caenorhabditis_elegans	WBGene00000002
caenorhabditis_elegans	WBGene00000003
caenorhabditis_elegans	WBGene00000004
caenorhabditis_elegans	WBGene00000005
caenorhabditis_elegans	WBGene00000006
caenorhabditis_elegans	WBGene00000007
caenorhabditis_elegans	WBGene00000008
caenorhabditis_elegans	WBGene00000009
caenorhabditis_elegans	WBGene00000010
caenorhabditis_elegans	WBGene00000012
caenorhabditis_elegans	WBGene00000013
caenorhabditis_elegans	WBGene00000014
caenorhabditis_elegans	WBGene00000015
caenorhabditis_elegans	WBGene00000016
caenorhabditis_elegans	WBGene00000017
caenorhabditis_elegans	WBGene00000018
caenorhabditis_elegans	WBGene00000019
caenorhabditis_elegans	WBGene00000020
caenorhabditis_elegans	WBGene00000021
caenorhabditis_elegans	WBGene00000022
caenorhabditis_elegans	WBGene00000023
caenorhabditis_elegans	WBGene00000024
caenorhabditis_elegans	WBGene00000025
caenorhabditis_elegans	WBGene00000026
caenorhabditis_elegans	WBGene00000027
caenorhabditis_elegans	WBGene00000028
caenorhabditis_elegans	WBGene00000029
caenorhabditis_elegans	WBGene00000030
caenorhabditis_elegans	WBGene00000031
caenorhabditis_elegans	WBGene00000032
caenorhabditis_elegans	WBGene00000033
caenorhabditis_elegans	WBGene00000034
caenorhabditis_elegans	WBGene00000035
caenorhabditis_elegans	WBGene00000036
caenorhabditis_elegans	WBGene00000037
caenorhabditis_elegans	WBGene00000038
caenorhabditis_elegans	WBGene00000039
caenorhabditis_elegans	WBGene00000040
caenorhabditis_elegans	WBGene00000041
caenorhabditis_elegans	WBGene00000042
caenorhabditis_elegans	WBGene00000043
caenorhabditis_elegans	WBGene00000044
caenorhabditis_elegans	WBGene00000045
caenorhabditis_elegans	WBGene00000046
caenorhabditis_elegans	WBGene00000047
caenorhabditis_elegans	WBGene00000048
caenorhabditis_elegans	WBGene00000049
caenorhabditis_elegans	WBGene00000050
caenorhabditis_elegans	WBGene00000051
caenorhabditis_elegans	WBGene00000053
caenorhabditis_elegans	WBGene00000054
caenorhabditis_elegans	WBGene00000055
caenorhabditis_elegans	WBGene00000056
caenorhabditis_elegans	WBGene00000057
caenorhabditis_elegans	WBGene00000058
caenorhabditis_elegans	WBGene00000059
caenorhabditis_elegans	WBGene00000060
caenorhabditis_elegans	WBGene00000061
caenorhabditis_elegans	WBGene00000062
caenorhabditis_elegans	WBGene00000063
caenorhabditis_elegans	WBGene00000064
caenorhabditis_elegans	WBGene00000065
caenorhabditis_elegans	WBGene00000066
caenorhabditis_elegans	WBGene00000067
caenorhabditis_elegans	WBGene00000068
caenorhabditis_elegans	WBGene00000069
caenorhabditis_elegans	WBGene00000070
caenorhabditis_elegans	WBGene00000071
caenorhabditis_elegans	WBGene00000072
caenorhabditis_elegans	WBGene00000073
caenorhabditis_elegans	WBGene00000074
caenorhabditis_elegans	WBGene00000075
caenorhabditis_elegans	WBGene00000079
caenorhabditis_elegans	WBGene00000080
caenorhabditis_elegans	WBGene00000081
caenorhabditis_elegans	WBGene00000082
caenorhabditis_elegans	WBGene00000083
caenorhabditis_elegans	WBGene00000084
caenorhabditis_elegans	WBGene00000085
caenorhabditis_elegans	WBGene00000086
caenorhabditis_elegans	WBGene00000088
caenorhabditis_elegans	WBGene00000089
caenorhabditis_elegans	WBGene00000090
caenorhabditis_elegans	WBGene00000092
caenorhabditis_elegans	WBGene00000093
caenorhabditis_elegans	WBGene00000094
caenorhabditis_elegans	WBGene00000095
caenorhabditis_elegans	WBGene00000096
caenorhabditis_elegans	WBGene00000097
caenorhabditis_elegans	WBGene00000098
caenorhabditis_elegans	WBGene00000099
caenorhabditis_elegans	WBGene00000100
caenorhabditis_elegans	WBGene00000101
caenorhabditis_elegans	WBGene00000102
caenorhabditis_elegans	WBGene00000103
caenorhabditis_elegans	WBGene00000105
caenorhabditis_elegans	WBGene00000106
caenorhabditis_elegans	WBGene00000107
caenorhabditis_elegans	WBGene00000108
caenorhabditis_elegans	WBGene00000109
caenorhabditis_elegans	WBGene00000110
caenorhabditis_elegans	WBGene00000111
caenorhabditis_elegans	WBGene00000112
caenorhabditis_elegans	WBGene00000113
caenorhabditis_elegans	WBGene00000114
caenorhabditis_elegans	WBGene00000115
caenorhabditis_elegans	WBGene00000116
caenorhabditis_elegans	WBGene00000117
caenorhabditis_elegans	WBGene00000118
caenorhabditis_elegans	WBGene00000120
caenorhabditis_elegans	WBGene00000121
caenorhabditis_elegans	WBGene00000122
caenorhabditis_elegans	WBGene00000123
caenorhabditis_elegans	WBGene00000133
caenorhabditis_elegans	WBGene00000134
caenorhabditis_elegans	WBGene00000135
caenorhabditis_elegans	WBGene00000136
caenorhabditis_elegans	WBGene00000137
caenorhabditis_elegans	WBGene00000138
caenorhabditis_elegans	WBGene00000139
caenorhabditis_elegans	WBGene00000140
caenorhabditis_elegans	WBGene00000142
caenorhabditis_elegans	WBGene00000143
caenorhabditis_elegans	WBGene00000144
caenorhabditis_elegans	WBGene00000145
caenorhabditis_elegans	WBGene00000146
caenorhabditis_elegans	WBGene00000147
caenorhabditis_elegans	WBGene00000148
caenorhabditis_elegans	WBGene00000149
caenorhabditis_elegans	WBGene00000150
caenorhabditis_elegans	WBGene00000151
caenorhabditis_elegans	WBGene00000155
caenorhabditis_elegans	WBGene00000156
caenorhabditis_elegans	WBGene00000157
caenorhabditis_elegans	WBGene00000158
caenorhabditis_elegans	WBGene00000159
caenorhabditis_elegans	WBGene00000160
caenorhabditis_elegans	WBGene00000161
caenorhabditis_elegans	WBGene00000162
caenorhabditis_elegans	WBGene00000163
caenorhabditis_elegans	WBGene00000164
caenorhabditis_elegans	WBGene00000165
caenorhabditis_elegans	WBGene00000166
caenorhabditis_elegans	WBGene00000168
caenorhabditis_elegans	WBGene00000169
caenorhabditis_elegans	WBGene00000170
caenorhabditis_elegans	WBGene00000171
caenorhabditis_elegans	WBGene00000172
caenorhabditis_elegans	WBGene00000173
caenorhabditis_elegans	WBGene00000174
caenorhabditis_elegans	WBGene00000175
caenorhabditis_elegans	WBGene00000176
caenorhabditis_elegans	WBGene00000177
caenorhabditis_elegans	WBGene00000178
caenorhabditis_elegans	WBGene00000179
caenorhabditis_elegans	WBGene00000180
caenorhabditis_elegans	WBGene00000181
caenorhabditis_elegans	WBGene00000182
caenorhabditis_elegans	WBGene00000183
caenorhabditis_elegans	WBGene00000184
caenorhabditis_elegans	WBGene00000185
caenorhabditis_elegans	WBGene00000186
caenorhabditis_elegans	WBGene00000187
caenorhabditis_elegans	WBGene00000188
caenorhabditis_elegans	WBGene00000189
caenorhabditis_elegans	WBGene00000190
caenorhabditis_elegans	WBGene00000191
caenorhabditis_elegans	WBGene00000192
caenorhabditis_elegans	WBGene00000193
caenorhabditis_elegans	WBGene00000195
caenorhabditis_elegans	WBGene00000196
caenorhabditis_elegans	WBGene00000197
caenorhabditis_elegans	WBGene00000198
caenorhabditis_elegans	WBGene00000199
caenorhabditis_elegans	WBGene00000200
caenorhabditis_elegans	WBGene00000201
caenorhabditis_elegans	WBGene00000202
caenorhabditis_elegans	WBGene00000203
caenorhabditis_elegans	WBGene00000204
caenorhabditis_elegans	WBGene00000205
caenorhabditis_elegans	WBGene00000206
caenorhabditis_elegans	WBGene00000207
caenorhabditis_elegans	WBGene00000208
caenorhabditis_elegans	WBGene00000209
caenorhabditis_elegans	WBGene00000210
caenorhabditis_elegans	WBGene00000211
caenorhabditis_elegans	WBGene00000212
caenorhabditis_elegans	WBGene00000213
caenorhabditis_elegans	WBGene00000214
caenorhabditis_elegans	WBGene00000215
caenorhabditis_elegans	WBGene00000216
