Genome project	Gene stable ID
caenorhabditis_remanei	WBGene00045436
caenorhabditis_remanei	WBGene00045437
caenorhabditis_remanei	WBGene00045439
caenorhabditis_remanei	WBGene00045440
caenorhabditis_remanei	WBGene00045442
caenorhabditis_remanei	WBGene00045445
caenorhabditis_remanei	WBGene00045446
caenorhabditis_remanei	WBGene00045447
caenorhabditis_remanei	WBGene00045449
caenorhabditis_remanei	WBGene00045450
caenorhabditis_remanei	WBGene00045454
caenorhabditis_remanei	WBGene00050982
caenorhabditis_remanei	WBGene00050983
caenorhabditis_remanei	WBGene00050984
caenorhabditis_remanei	WBGene00050985
caenorhabditis_remanei	WBGene00050986
caenorhabditis_remanei	WBGene00050987
caenorhabditis_remanei	WBGene00050988
caenorhabditis_remanei	WBGene00050989
caenorhabditis_remanei	WBGene00050990
caenorhabditis_remanei	WBGene00050991
caenorhabditis_remanei	WBGene00050992
caenorhabditis_remanei	WBGene00050993
caenorhabditis_remanei	WBGene00050994
caenorhabditis_remanei	WBGene00050995
caenorhabditis_remanei	WBGene00050996
caenorhabditis_remanei	WBGene00050997
caenorhabditis_remanei	WBGene00050998
caenorhabditis_remanei	WBGene00050999
caenorhabditis_remanei	WBGene00051000
caenorhabditis_remanei	WBGene00051001
caenorhabditis_remanei	WBGene00051002
caenorhabditis_remanei	WBGene00051003
caenorhabditis_remanei	WBGene00051004
caenorhabditis_remanei	WBGene00051005
caenorhabditis_remanei	WBGene00051006
caenorhabditis_remanei	WBGene00051007
caenorhabditis_remanei	WBGene00051008
caenorhabditis_remanei	WBGene00051009
caenorhabditis_remanei	WBGene00051010
caenorhabditis_remanei	WBGene00051011
caenorhabditis_remanei	WBGene00051012
caenorhabditis_remanei	WBGene00051013
caenorhabditis_remanei	WBGene00051014
caenorhabditis_remanei	WBGene00051015
caenorhabditis_remanei	WBGene00051016
caenorhabditis_remanei	WBGene00051017
caenorhabditis_remanei	WBGene00051018
caenorhabditis_remanei	WBGene00051019
caenorhabditis_remanei	WBGene00051020
caenorhabditis_remanei	WBGene00051021
caenorhabditis_remanei	WBGene00051022
caenorhabditis_remanei	WBGene00051023
caenorhabditis_remanei	WBGene00051024
caenorhabditis_remanei	WBGene00051025
caenorhabditis_remanei	WBGene00051026
caenorhabditis_remanei	WBGene00051027
caenorhabditis_remanei	WBGene00051028
caenorhabditis_remanei	WBGene00051029
caenorhabditis_remanei	WBGene00051030
caenorhabditis_remanei	WBGene00051031
caenorhabditis_remanei	WBGene00051032
caenorhabditis_remanei	WBGene00051033
caenorhabditis_remanei	WBGene00051035
caenorhabditis_remanei	WBGene00051036
caenorhabditis_remanei	WBGene00051037
caenorhabditis_remanei	WBGene00051038
caenorhabditis_remanei	WBGene00051039
caenorhabditis_remanei	WBGene00051040
caenorhabditis_remanei	WBGene00051041
caenorhabditis_remanei	WBGene00051042
caenorhabditis_remanei	WBGene00051043
caenorhabditis_remanei	WBGene00051046
caenorhabditis_remanei	WBGene00051047
caenorhabditis_remanei	WBGene00051048
caenorhabditis_remanei	WBGene00051049
caenorhabditis_remanei	WBGene00051050
caenorhabditis_remanei	WBGene00051051
caenorhabditis_remanei	WBGene00051052
caenorhabditis_remanei	WBGene00051053
caenorhabditis_remanei	WBGene00051054
caenorhabditis_remanei	WBGene00051055
caenorhabditis_remanei	WBGene00051056
caenorhabditis_remanei	WBGene00051057
caenorhabditis_remanei	WBGene00051058
caenorhabditis_remanei	WBGene00051059
caenorhabditis_remanei	WBGene00051060
caenorhabditis_remanei	WBGene00051061
caenorhabditis_remanei	WBGene00051062
caenorhabditis_remanei	WBGene00051063
caenorhabditis_remanei	WBGene00051065
caenorhabditis_remanei	WBGene00051066
caenorhabditis_remanei	WBGene00051067
caenorhabditis_remanei	WBGene00051068
caenorhabditis_remanei	WBGene00051069
caenorhabditis_remanei	WBGene00051071
caenorhabditis_remanei	WBGene00051072
caenorhabditis_remanei	WBGene00051073
caenorhabditis_remanei	WBGene00051074
caenorhabditis_remanei	WBGene00051075
caenorhabditis_remanei	WBGene00051076
caenorhabditis_remanei	WBGene00051077
caenorhabditis_remanei	WBGene00051078
caenorhabditis_remanei	WBGene00051079
caenorhabditis_remanei	WBGene00051080
caenorhabditis_remanei	WBGene00051081
caenorhabditis_remanei	WBGene00051082
caenorhabditis_remanei	WBGene00051083
caenorhabditis_remanei	WBGene00051084
caenorhabditis_remanei	WBGene00051085
caenorhabditis_remanei	WBGene00051086
caenorhabditis_remanei	WBGene00051087
caenorhabditis_remanei	WBGene00051088
caenorhabditis_remanei	WBGene00051089
caenorhabditis_remanei	WBGene00051090
caenorhabditis_remanei	WBGene00051091
caenorhabditis_remanei	WBGene00051092
caenorhabditis_remanei	WBGene00051094
caenorhabditis_remanei	WBGene00051095
caenorhabditis_remanei	WBGene00051096
caenorhabditis_remanei	WBGene00051097
caenorhabditis_remanei	WBGene00051098
caenorhabditis_remanei	WBGene00051099
caenorhabditis_remanei	WBGene00051100
caenorhabditis_remanei	WBGene00051101
caenorhabditis_remanei	WBGene00051102
caenorhabditis_remanei	WBGene00051103
caenorhabditis_remanei	WBGene00051104
caenorhabditis_remanei	WBGene00051105
caenorhabditis_remanei	WBGene00051106
caenorhabditis_remanei	WBGene00051107
caenorhabditis_remanei	WBGene00051108
caenorhabditis_remanei	WBGene00051109
caenorhabditis_remanei	WBGene00051110
caenorhabditis_remanei	WBGene00051111
caenorhabditis_remanei	WBGene00051112
caenorhabditis_remanei	WBGene00051113
caenorhabditis_remanei	WBGene00051114
caenorhabditis_remanei	WBGene00051115
caenorhabditis_remanei	WBGene00051116
caenorhabditis_remanei	WBGene00051117
caenorhabditis_remanei	WBGene00051118
caenorhabditis_remanei	WBGene00051119
caenorhabditis_remanei	WBGene00051120
caenorhabditis_remanei	WBGene00051121
caenorhabditis_remanei	WBGene00051122
caenorhabditis_remanei	WBGene00051124
caenorhabditis_remanei	WBGene00051125
caenorhabditis_remanei	WBGene00051126
caenorhabditis_remanei	WBGene00051128
caenorhabditis_remanei	WBGene00051129
caenorhabditis_remanei	WBGene00051131
caenorhabditis_remanei	WBGene00051132
caenorhabditis_remanei	WBGene00051133
caenorhabditis_remanei	WBGene00051134
caenorhabditis_remanei	WBGene00051135
caenorhabditis_remanei	WBGene00051136
caenorhabditis_remanei	WBGene00051137
caenorhabditis_remanei	WBGene00051138
caenorhabditis_remanei	WBGene00051139
caenorhabditis_remanei	WBGene00051140
caenorhabditis_remanei	WBGene00051141
caenorhabditis_remanei	WBGene00051142
caenorhabditis_remanei	WBGene00051143
caenorhabditis_remanei	WBGene00051144
caenorhabditis_remanei	WBGene00051145
caenorhabditis_remanei	WBGene00051146
caenorhabditis_remanei	WBGene00051147
caenorhabditis_remanei	WBGene00051148
caenorhabditis_remanei	WBGene00051149
caenorhabditis_remanei	WBGene00051150
caenorhabditis_remanei	WBGene00051151
caenorhabditis_remanei	WBGene00051152
caenorhabditis_remanei	WBGene00051153
caenorhabditis_remanei	WBGene00051154
caenorhabditis_remanei	WBGene00051156
caenorhabditis_remanei	WBGene00051157
caenorhabditis_remanei	WBGene00051158
caenorhabditis_remanei	WBGene00051159
caenorhabditis_remanei	WBGene00051160
caenorhabditis_remanei	WBGene00051161
caenorhabditis_remanei	WBGene00051162
caenorhabditis_remanei	WBGene00051164
caenorhabditis_remanei	WBGene00051165
caenorhabditis_remanei	WBGene00051166
caenorhabditis_remanei	WBGene00051167
caenorhabditis_remanei	WBGene00051168
caenorhabditis_remanei	WBGene00051169
caenorhabditis_remanei	WBGene00051170
caenorhabditis_remanei	WBGene00051171
caenorhabditis_remanei	WBGene00051172
caenorhabditis_remanei	WBGene00051173
caenorhabditis_remanei	WBGene00051174
caenorhabditis_remanei	WBGene00051175
caenorhabditis_remanei	WBGene00051176
caenorhabditis_remanei	WBGene00051177
caenorhabditis_remanei	WBGene00051178
caenorhabditis_remanei	WBGene00051179
caenorhabditis_remanei	WBGene00051180
caenorhabditis_remanei	WBGene00051181
caenorhabditis_remanei	WBGene00051182
caenorhabditis_remanei	WBGene00051183
caenorhabditis_remanei	WBGene00051184
caenorhabditis_remanei	WBGene00051185
caenorhabditis_remanei	WBGene00051186
caenorhabditis_remanei	WBGene00051187
caenorhabditis_remanei	WBGene00051188
caenorhabditis_remanei	WBGene00051189
caenorhabditis_remanei	WBGene00051190
caenorhabditis_remanei	WBGene00051191
caenorhabditis_remanei	WBGene00051192
caenorhabditis_remanei	WBGene00051193
caenorhabditis_remanei	WBGene00051194
caenorhabditis_remanei	WBGene00051195
caenorhabditis_remanei	WBGene00051197
caenorhabditis_remanei	WBGene00051198
caenorhabditis_remanei	WBGene00051199
caenorhabditis_remanei	WBGene00051200
caenorhabditis_remanei	WBGene00051201
caenorhabditis_remanei	WBGene00051202
caenorhabditis_remanei	WBGene00051203
caenorhabditis_remanei	WBGene00051204
caenorhabditis_remanei	WBGene00051205
caenorhabditis_remanei	WBGene00051206
