Genome project	Gene stable ID	Caenorhabditis brenneri [WS251] gene stable ID	Homology type
caenorhabditis_elegans	WBGene00000001	WBGene00139315	ortholog_one2many
caenorhabditis_elegans	WBGene00000001	WBGene00194098	ortholog_one2many
caenorhabditis_elegans	WBGene00000002	WBGene00155266	ortholog_one2many
caenorhabditis_elegans	WBGene00000002	WBGene00149684	ortholog_one2many
caenorhabditis_elegans	WBGene00000003	WBGene00164839	ortholog_one2many
caenorhabditis_elegans	WBGene00000003	WBGene00193974	ortholog_one2many
caenorhabditis_elegans	WBGene00000004	WBGene00164587	ortholog_one2one
caenorhabditis_elegans	WBGene00000005	WBGene00156759	ortholog_one2one
caenorhabditis_elegans	WBGene00000006	WBGene00147961	ortholog_one2many
caenorhabditis_elegans	WBGene00000006	WBGene00193695	ortholog_one2many
caenorhabditis_elegans	WBGene00000007		
caenorhabditis_elegans	WBGene00000008	WBGene00143161	ortholog_one2one
caenorhabditis_elegans	WBGene00000009	WBGene00190979	ortholog_one2many
caenorhabditis_elegans	WBGene00000009	WBGene00190124	ortholog_one2many
caenorhabditis_elegans	WBGene00000010		
caenorhabditis_elegans	WBGene00000012	WBGene00155076	ortholog_one2many
caenorhabditis_elegans	WBGene00000013	WBGene00155076	ortholog_one2many
caenorhabditis_elegans	WBGene00000014	WBGene00152875	ortholog_one2many
caenorhabditis_elegans	WBGene00000015	WBGene00152875	ortholog_one2many
caenorhabditis_elegans	WBGene00000016	WBGene00152875	ortholog_one2many
caenorhabditis_elegans	WBGene00000017	WBGene00153840	ortholog_one2one
caenorhabditis_elegans	WBGene00000018	WBGene00143134	ortholog_one2one
caenorhabditis_elegans	WBGene00000019	WBGene00147035	ortholog_one2one
caenorhabditis_elegans	WBGene00000020	WBGene00140782	ortholog_one2many
caenorhabditis_elegans	WBGene00000020	WBGene00191952	ortholog_one2many
caenorhabditis_elegans	WBGene00000022	WBGene00190033	ortholog_one2many
caenorhabditis_elegans	WBGene00000022	WBGene00160585	ortholog_one2many
caenorhabditis_elegans	WBGene00000023	WBGene00147940	ortholog_one2many
caenorhabditis_elegans	WBGene00000023	WBGene00147511	ortholog_one2many
caenorhabditis_elegans	WBGene00000023	WBGene00159523	ortholog_one2many
caenorhabditis_elegans	WBGene00000023	WBGene00191389	ortholog_one2many
caenorhabditis_elegans	WBGene00000024	WBGene00160920	ortholog_one2many
caenorhabditis_elegans	WBGene00000025		
