Genome project	Gene stable ID	Caenorhabditis briggsae [WS251] gene stable ID	Homology type
caenorhabditis_brenneri	WBGene00050882	WBGene00000328	ortholog_one2one
caenorhabditis_brenneri	WBGene00138726	WBGene00034288	ortholog_one2one
caenorhabditis_brenneri	WBGene00138727	WBGene00087337	ortholog_one2many
caenorhabditis_brenneri	WBGene00138728		
caenorhabditis_brenneri	WBGene00138729		
caenorhabditis_brenneri	WBGene00138730		
caenorhabditis_brenneri	WBGene00138731	WBGene00024847	ortholog_one2many
caenorhabditis_brenneri	WBGene00138732	WBGene00034371	ortholog_one2many
caenorhabditis_brenneri	WBGene00138733	WBGene00037635	ortholog_one2many
caenorhabditis_brenneri	WBGene00138734	WBGene00031259	ortholog_one2one
caenorhabditis_brenneri	WBGene00138735		
caenorhabditis_brenneri	WBGene00138736		
caenorhabditis_brenneri	WBGene00138737	WBGene00028920	ortholog_one2many
caenorhabditis_brenneri	WBGene00138738		
caenorhabditis_brenneri	WBGene00138739	WBGene00086634	ortholog_one2many
caenorhabditis_brenneri	WBGene00138740	WBGene00041358	ortholog_one2many
caenorhabditis_brenneri	WBGene00138740	WBGene00041357	ortholog_one2many
caenorhabditis_brenneri	WBGene00138742	WBGene00035421	ortholog_one2many
caenorhabditis_brenneri	WBGene00138743	WBGene00026048	ortholog_one2many
caenorhabditis_brenneri	WBGene00138744	WBGene00026650	ortholog_one2one
caenorhabditis_brenneri	WBGene00138745		
caenorhabditis_brenneri	WBGene00138746	WBGene00027257	ortholog_one2many
caenorhabditis_brenneri	WBGene00138747	WBGene00087314	ortholog_one2one
caenorhabditis_brenneri	WBGene00138748	WBGene00035671	ortholog_many2many
caenorhabditis_brenneri	WBGene00138748	WBGene00035670	ortholog_many2many
caenorhabditis_brenneri	WBGene00138749		
caenorhabditis_brenneri	WBGene00138750		
caenorhabditis_brenneri	WBGene00138751	WBGene00025303	ortholog_one2many
caenorhabditis_brenneri	WBGene00138752	WBGene00026562	ortholog_one2many
caenorhabditis_brenneri	WBGene00138753	WBGene00029143	ortholog_one2one
caenorhabditis_brenneri	WBGene00138754		
caenorhabditis_brenneri	WBGene00138755	WBGene00030079	ortholog_one2one
caenorhabditis_brenneri	WBGene00138756		
caenorhabditis_brenneri	WBGene00138757	WBGene00034507	ortholog_one2many
caenorhabditis_brenneri	WBGene00138758	WBGene00036210	ortholog_one2one
caenorhabditis_brenneri	WBGene00138760	WBGene00032531	ortholog_many2many
caenorhabditis_brenneri	WBGene00138760	WBGene00032530	ortholog_many2many
caenorhabditis_brenneri	WBGene00138761	WBGene00025218	ortholog_one2one
caenorhabditis_brenneri	WBGene00138762		
