Genome project	Gene stable ID	Caenorhabditis remanei [WS251] gene stable ID	Homology type
caenorhabditis_elegans	WBGene00000001	WBGene00069407	ortholog_one2one
caenorhabditis_elegans	WBGene00000002	WBGene00072228	ortholog_one2one
caenorhabditis_elegans	WBGene00000003	WBGene00064951	ortholog_one2many
caenorhabditis_elegans	WBGene00000003	WBGene00064948	ortholog_one2many
caenorhabditis_elegans	WBGene00000004	WBGene00058173	ortholog_one2one
caenorhabditis_elegans	WBGene00000005	WBGene00072979	ortholog_one2one
caenorhabditis_elegans	WBGene00000006	WBGene00057075	ortholog_one2one
caenorhabditis_elegans	WBGene00000007	WBGene00064745	ortholog_one2one
caenorhabditis_elegans	WBGene00000008	WBGene00064649	ortholog_one2one
caenorhabditis_elegans	WBGene00000009	WBGene00077141	ortholog_one2many
caenorhabditis_elegans	WBGene00000009	WBGene00068387	ortholog_one2many
caenorhabditis_elegans	WBGene00000009	WBGene00061112	ortholog_one2many
caenorhabditis_elegans	WBGene00000010		
caenorhabditis_elegans	WBGene00000012		
caenorhabditis_elegans	WBGene00000013		
caenorhabditis_elegans	WBGene00000014	WBGene00051168	ortholog_one2many
caenorhabditis_elegans	WBGene00000015	WBGene00051168	ortholog_one2many
caenorhabditis_elegans	WBGene00000016	WBGene00051168	ortholog_one2many
caenorhabditis_elegans	WBGene00000017	WBGene00051169	ortholog_one2one
caenorhabditis_elegans	WBGene00000018	WBGene00058433	ortholog_one2one
caenorhabditis_elegans	WBGene00000019	WBGene00075438	ortholog_one2many
caenorhabditis_elegans	WBGene00000019	WBGene00065665	ortholog_one2many
caenorhabditis_elegans	WBGene00000019	WBGene00077085	ortholog_one2many
caenorhabditis_elegans	WBGene00000020	WBGene00057197	ortholog_one2one
caenorhabditis_elegans	WBGene00000022	WBGene00056689	ortholog_one2one
caenorhabditis_elegans	WBGene00000023	WBGene00054290	ortholog_one2many
caenorhabditis_elegans	WBGene00000023	WBGene00056293	ortholog_one2many
caenorhabditis_elegans	WBGene00000024		
caenorhabditis_elegans	WBGene00000025	WBGene00065084	ortholog_one2many
caenorhabditis_elegans	WBGene00000026	WBGene00065084	ortholog_one2many
caenorhabditis_elegans	WBGene00000027	WBGene00065084	ortholog_one2many
caenorhabditis_elegans	WBGene00000028	WBGene00065084	ortholog_one2many
caenorhabditis_elegans	WBGene00000029	WBGene00052727	ortholog_one2many
caenorhabditis_elegans	WBGene00000030	WBGene00052727	ortholog_one2many
caenorhabditis_elegans	WBGene00000031	WBGene00052727	ortholog_one2many
caenorhabditis_elegans	WBGene00000032	WBGene00065483	ortholog_many2many
caenorhabditis_elegans	WBGene00000032	WBGene00065484	ortholog_many2many
caenorhabditis_elegans	WBGene00000033	WBGene00051920	ortholog_one2one
caenorhabditis_elegans	WBGene00000034	WBGene00071999	ortholog_one2one
caenorhabditis_elegans	WBGene00000035	WBGene00063247	ortholog_one2one
caenorhabditis_elegans	WBGene00000036	WBGene00056425	ortholog_one2one
caenorhabditis_elegans	WBGene00000037	WBGene00053629	ortholog_one2one
caenorhabditis_elegans	WBGene00000038	WBGene00077924	ortholog_one2one
caenorhabditis_elegans	WBGene00000039	WBGene00051736	ortholog_one2one
caenorhabditis_elegans	WBGene00000040	WBGene00058302	ortholog_one2one
caenorhabditis_elegans	WBGene00000041	WBGene00064481	ortholog_one2one
caenorhabditis_elegans	WBGene00000042	WBGene00051450	ortholog_one2one
caenorhabditis_elegans	WBGene00000043	WBGene00051449	ortholog_one2one
caenorhabditis_elegans	WBGene00000044		
caenorhabditis_elegans	WBGene00000045	WBGene00062403	ortholog_one2one
caenorhabditis_elegans	WBGene00000046	WBGene00057696	ortholog_one2one
caenorhabditis_elegans	WBGene00000047	WBGene00058468	ortholog_one2one
caenorhabditis_elegans	WBGene00000048	WBGene00065286	ortholog_one2one
caenorhabditis_elegans	WBGene00000049	WBGene00051891	ortholog_one2one
caenorhabditis_elegans	WBGene00000050	WBGene00056134	ortholog_one2one
caenorhabditis_elegans	WBGene00000051	WBGene00065266	ortholog_one2one
caenorhabditis_elegans	WBGene00000053	WBGene00053805	ortholog_one2one
caenorhabditis_elegans	WBGene00000054	WBGene00053116	ortholog_one2one
caenorhabditis_elegans	WBGene00000055	WBGene00053117	ortholog_one2one
caenorhabditis_elegans	WBGene00000056	WBGene00062109	ortholog_one2one
caenorhabditis_elegans	WBGene00000057	WBGene00057739	ortholog_one2one
caenorhabditis_elegans	WBGene00000058	WBGene00059944	ortholog_one2one
caenorhabditis_elegans	WBGene00000059	WBGene00062241	ortholog_one2one
caenorhabditis_elegans	WBGene00000060	WBGene00063491	ortholog_one2one
caenorhabditis_elegans	WBGene00000061	WBGene00051318	ortholog_one2one
caenorhabditis_elegans	WBGene00000062	WBGene00058134	ortholog_one2one
caenorhabditis_elegans	WBGene00000063	WBGene00066197	ortholog_one2many
caenorhabditis_elegans	WBGene00000064	WBGene00085263	ortholog_one2one
caenorhabditis_elegans	WBGene00000065	WBGene00066197	ortholog_one2many
caenorhabditis_elegans	WBGene00000066	WBGene00066199	ortholog_one2one
caenorhabditis_elegans	WBGene00000067	WBGene00055874	ortholog_one2one
caenorhabditis_elegans	WBGene00000068	WBGene00061719	ortholog_one2one
caenorhabditis_elegans	WBGene00000069	WBGene00058838	ortholog_one2one
caenorhabditis_elegans	WBGene00000070	WBGene00054800	ortholog_one2one
caenorhabditis_elegans	WBGene00000071	WBGene00058903	ortholog_one2one
caenorhabditis_elegans	WBGene00000072	WBGene00051775	ortholog_one2one
