Genome project	Gene stable ID	Homology type	Caenorhabditis briggsae [WS251] gene stable ID
caenorhabditis_elegans	WBGene00000001	ortholog_one2one	WBGene00032086
caenorhabditis_elegans	WBGene00000002	ortholog_one2one	WBGene00039142
caenorhabditis_elegans	WBGene00000003	ortholog_one2many	WBGene00038493
caenorhabditis_elegans	WBGene00000003	ortholog_one2many	WBGene00042289
caenorhabditis_elegans	WBGene00000004	ortholog_one2one	WBGene00025215
caenorhabditis_elegans	WBGene00000005	ortholog_one2one	WBGene00041961
caenorhabditis_elegans	WBGene00000006	ortholog_one2one	WBGene00026891
caenorhabditis_elegans	WBGene00000007	ortholog_one2one	WBGene00041605
caenorhabditis_elegans	WBGene00000008	ortholog_one2one	WBGene00029323
caenorhabditis_elegans	WBGene00000009	ortholog_one2many	WBGene00087887
caenorhabditis_elegans	WBGene00000009	ortholog_one2many	WBGene00032025
caenorhabditis_elegans	WBGene00000010		
caenorhabditis_elegans	WBGene00000012		
caenorhabditis_elegans	WBGene00000013		
caenorhabditis_elegans	WBGene00000014	ortholog_one2many	WBGene00023566
caenorhabditis_elegans	WBGene00000015	ortholog_one2many	WBGene00023566
caenorhabditis_elegans	WBGene00000016	ortholog_one2many	WBGene00023566
caenorhabditis_elegans	WBGene00000017	ortholog_one2one	WBGene00023565
caenorhabditis_elegans	WBGene00000018	ortholog_one2one	WBGene00027163
caenorhabditis_elegans	WBGene00000019	ortholog_one2one	WBGene00026265
caenorhabditis_elegans	WBGene00000020	ortholog_one2one	WBGene00026658
caenorhabditis_elegans	WBGene00000022	ortholog_one2one	WBGene00024527
caenorhabditis_elegans	WBGene00000023	ortholog_one2many	WBGene00033921
caenorhabditis_elegans	WBGene00000023	ortholog_one2many	WBGene00039310
caenorhabditis_elegans	WBGene00000024	ortholog_one2many	WBGene00031181
caenorhabditis_elegans	WBGene00000025		
caenorhabditis_elegans	WBGene00000026		
caenorhabditis_elegans	WBGene00000027		
caenorhabditis_elegans	WBGene00000028		
caenorhabditis_elegans	WBGene00000029	ortholog_one2many	WBGene00030446
caenorhabditis_elegans	WBGene00000030	ortholog_one2many	WBGene00030446
caenorhabditis_elegans	WBGene00000031	ortholog_one2many	WBGene00030446
caenorhabditis_elegans	WBGene00000032	ortholog_one2many	WBGene00041237
caenorhabditis_elegans	WBGene00000033	ortholog_one2one	WBGene00034839
caenorhabditis_elegans	WBGene00000034	ortholog_one2one	WBGene00029148
caenorhabditis_elegans	WBGene00000035	ortholog_one2one	WBGene00036330
caenorhabditis_elegans	WBGene00000036	ortholog_one2one	WBGene00035335
caenorhabditis_elegans	WBGene00000037	ortholog_one2one	WBGene00025806
caenorhabditis_elegans	WBGene00000038	ortholog_one2one	WBGene00025805
caenorhabditis_elegans	WBGene00000039	ortholog_one2one	WBGene00035046
caenorhabditis_elegans	WBGene00000040	ortholog_one2one	WBGene00037008
caenorhabditis_elegans	WBGene00000041	ortholog_one2one	WBGene00041389
caenorhabditis_elegans	WBGene00000042	ortholog_one2one	WBGene00032130
caenorhabditis_elegans	WBGene00000043	ortholog_one2one	WBGene00032131
caenorhabditis_elegans	WBGene00000044		
caenorhabditis_elegans	WBGene00000045	ortholog_one2one	WBGene00042167
caenorhabditis_elegans	WBGene00000046	ortholog_one2one	WBGene00026192
caenorhabditis_elegans	WBGene00000047	ortholog_one2one	WBGene00036931
caenorhabditis_elegans	WBGene00000048	ortholog_one2one	WBGene00029459
caenorhabditis_elegans	WBGene00000049	ortholog_one2one	WBGene00034869
caenorhabditis_elegans	WBGene00000050	ortholog_one2one	WBGene00033600
caenorhabditis_elegans	WBGene00000051	ortholog_one2one	WBGene00029484
caenorhabditis_elegans	WBGene00000053	ortholog_one2one	WBGene00024072
caenorhabditis_elegans	WBGene00000054	ortholog_one2one	WBGene00024721
caenorhabditis_elegans	WBGene00000055	ortholog_one2one	WBGene00024720
caenorhabditis_elegans	WBGene00000056	ortholog_one2one	WBGene00028865
caenorhabditis_elegans	WBGene00000057	ortholog_one2one	WBGene00037983
caenorhabditis_elegans	WBGene00000058	ortholog_one2one	WBGene00033378
caenorhabditis_elegans	WBGene00000059	ortholog_one2one	WBGene00032274
caenorhabditis_elegans	WBGene00000060	ortholog_one2many	WBGene00035531
caenorhabditis_elegans	WBGene00000060	ortholog_one2many	WBGene00042899
caenorhabditis_elegans	WBGene00000061	ortholog_one2one	WBGene00036579
caenorhabditis_elegans	WBGene00000062	ortholog_one2one	WBGene00028900
caenorhabditis_elegans	WBGene00000063		
caenorhabditis_elegans	WBGene00000064	ortholog_one2one	WBGene00041508
caenorhabditis_elegans	WBGene00000065		
caenorhabditis_elegans	WBGene00000066	ortholog_one2one	WBGene00041507
caenorhabditis_elegans	WBGene00000067	ortholog_one2one	WBGene00037707
caenorhabditis_elegans	WBGene00000068	ortholog_one2one	WBGene00037499
caenorhabditis_elegans	WBGene00000069	ortholog_one2one	WBGene00030888
caenorhabditis_elegans	WBGene00000070	ortholog_one2one	WBGene00030851
caenorhabditis_elegans	WBGene00000071	ortholog_one2one	WBGene00030952
caenorhabditis_elegans	WBGene00000072	ortholog_one2one	WBGene00035011
caenorhabditis_elegans	WBGene00000073	ortholog_one2one	WBGene00041723
caenorhabditis_elegans	WBGene00000074	ortholog_one2one	WBGene00029451
caenorhabditis_elegans	WBGene00000075	ortholog_one2one	WBGene00036634
caenorhabditis_elegans	WBGene00000079	ortholog_one2many	WBGene00038662
caenorhabditis_elegans	WBGene00000080	ortholog_one2one	WBGene00042332
caenorhabditis_elegans	WBGene00000081	ortholog_one2one	WBGene00035862
caenorhabditis_elegans	WBGene00000082	ortholog_one2one	WBGene00023580
caenorhabditis_elegans	WBGene00000083	ortholog_one2one	WBGene00036600
caenorhabditis_elegans	WBGene00000084	ortholog_one2one	WBGene00032972
caenorhabditis_elegans	WBGene00000085	ortholog_one2one	WBGene00036129
caenorhabditis_elegans	WBGene00000086	ortholog_one2one	WBGene00029981
caenorhabditis_elegans	WBGene00000088	ortholog_one2one	WBGene00038888
caenorhabditis_elegans	WBGene00000089	ortholog_one2one	WBGene00029902
caenorhabditis_elegans	WBGene00000090	ortholog_one2one	WBGene00025837
caenorhabditis_elegans	WBGene00000092	ortholog_one2one	WBGene00035082
