C.brenneri WBID,C.brenneri assignment (CN),C.briggsae WBID,C.briggsae assignment (CN),C.remanei WBID,C.remanei assignment (CN)
WBGene00050882,A,WBGene00000328,A,WBGene00064839,A
WBGene00138726,A,WBGene00034288,A,WBGene00072466,A
WBGene00138747,A,WBGene00087314,A,WBGene00054981,A
WBGene00138753,A,WBGene00029143,A,WBGene00064698,A
WBGene00138758,X,WBGene00036210,X,WBGene00077299,X
WBGene00138761,X,WBGene00025218,X,WBGene00058170,X
WBGene00138764,X,WBGene00034890,X,WBGene00051872,X
WBGene00138768,A,WBGene00033171,A,WBGene00062394,A
WBGene00138780,X,WBGene00036954,X,WBGene00058244,X
WBGene00138796,A,WBGene00031236,A,WBGene00072042,A
WBGene00138797,X,WBGene00032193,X,WBGene00051383,X
WBGene00138799,A,WBGene00031099,A,WBGene00059064,A
WBGene00138803,X,WBGene00040695,A,WBGene00060239,X
WBGene00138821,A,WBGene00026110,A,WBGene00053279,A
WBGene00138823,X,WBGene00036129,X,WBGene00059777,X
WBGene00138825,A,WBGene00036563,A,WBGene00054794,A
WBGene00138834,A,WBGene00032601,A,WBGene00052873,A
WBGene00138838,A,WBGene00041417,A,WBGene00064517,A
WBGene00138840,A,WBGene00023835,A,WBGene00067799,A
WBGene00138841,A,WBGene00039589,A,WBGene00057524,A
WBGene00138848,A,WBGene00034003,A,WBGene00063091,A
WBGene00138849,A,WBGene00023846,A,WBGene00085044,A
WBGene00138851,A,WBGene00033555,A,WBGene00068986,A
WBGene00138855,X,WBGene00034832,X,WBGene00051927,X
WBGene00138861,X,WBGene00036917,X,WBGene00058484,X
WBGene00138865,A,WBGene00033536,A,WBGene00070533,A
WBGene00138867,A,WBGene00026182,A,WBGene00057706,A
WBGene00138871,A,WBGene00027239,A,WBGene00064423,A
WBGene00138882,X,WBGene00034910,X,WBGene00051853,X
WBGene00138883,A,WBGene00023959,A,WBGene00070709,A
WBGene00138884,X,WBGene00036323,X,WBGene00063240,X
WBGene00138888,A,WBGene00026123,A,WBGene00077981,A
WBGene00138889,A,WBGene00038178,A,WBGene00056002,A
WBGene00138892,A,WBGene00041464,A,WBGene00061885,A
WBGene00138899,A,WBGene00037504,A,WBGene00061725,A
WBGene00138915,A,WBGene00034269,A,WBGene00064547,A
WBGene00138917,A,WBGene00041465,A,WBGene00061895,A
WBGene00138939,A,WBGene00039208,A,WBGene00085742,A
WBGene00138943,X,WBGene00029585,X,WBGene00058558,X
WBGene00138951,A,WBGene00031241,A,WBGene00068972,ambiguous
WBGene00138952,X,WBGene00032146,X,WBGene00051435,X
WBGene00138958,X,WBGene00025274,X,WBGene00058239,X
WBGene00138977,A,WBGene00028051,A,WBGene00069599,A
WBGene00138983,X,WBGene00026870,X,WBGene00060158,X
WBGene00138988,A,WBGene00031324,A,WBGene00054930,A
WBGene00138990,A,WBGene00027356,A,WBGene00056989,A
WBGene00138998,A,WBGene00037490,A,WBGene00061710,A
WBGene00138999,A,WBGene00037697,A,WBGene00055886,A
WBGene00139002,X,WBGene00034698,X,WBGene00052085,X
WBGene00139003,X,WBGene00034992,X,WBGene00051791,X
WBGene00139012,X,WBGene00034868,X,WBGene00051892,X
WBGene00139018,A,WBGene00034004,A,WBGene00063089,A
WBGene00139019,A,WBGene00031431,A,WBGene00054978,A
WBGene00139020,A,WBGene00036480,A,WBGene00054684,A
WBGene00139021,X,WBGene00034977,X,WBGene00051805,X
WBGene00139023,X,WBGene00029655,X,WBGene00058633,X
WBGene00139044,A,WBGene00037551,A,WBGene00061771,A
WBGene00139047,A,WBGene00025774,A,WBGene00053651,A
WBGene00139049,A,WBGene00034029,A,WBGene00063068,A
WBGene00139053,X,WBGene00034840,X,WBGene00051918,X
WBGene00139058,X,WBGene00032185,X,WBGene00051394,X
WBGene00139062,A,WBGene00039533,A,WBGene00057938,A
WBGene00139063,X,WBGene00036663,X,WBGene00051247,X
WBGene00139065,X,WBGene00036125,X,WBGene00059780,X
WBGene00139067,A,WBGene00042803,A,WBGene00052651,A
WBGene00139069,X,WBGene00025238,X,WBGene00058149,X
WBGene00139079,A,WBGene00043047,no.read,WBGene00059966,A
WBGene00139086,A,WBGene00026789,A,WBGene00060615,A
WBGene00139092,X,WBGene00029981,X,WBGene00060240,X
WBGene00139096,A,WBGene00033741,A,WBGene00056270,A
WBGene00139097,A,WBGene00034001,A,WBGene00063095,A
WBGene00139104,A,WBGene00032819,A,WBGene00069030,A
WBGene00139105,A,WBGene00033869,A,WBGene00057659,A
WBGene00139116,A,WBGene00030737,A,WBGene00055573,A
WBGene00139121,A,WBGene00027686,A,WBGene00055696,A
WBGene00139131,A,WBGene00027123,A,WBGene00063582,A
WBGene00139135,A,WBGene00030775,A,WBGene00055473,A
WBGene00139137,A,WBGene00042332,A,WBGene00072430,X
WBGene00139143,X,WBGene00025242,X,WBGene00071057,X
WBGene00139150,A,WBGene00034626,A,WBGene00069112,A
WBGene00139154,A,WBGene00041375,A,WBGene00064464,A
WBGene00139158,A,WBGene00037736,A,WBGene00078725,A
WBGene00139175,A,WBGene00038394,A,WBGene00068016,A
WBGene00139187,X,WBGene00036055,X,WBGene00059826,X
WBGene00139192,A,WBGene00026002,A,WBGene00053411,A
WBGene00139210,A,WBGene00033384,A,WBGene00057086,A
WBGene00139211,X,WBGene00023646,X,WBGene00051083,X
WBGene00139229,A,WBGene00024266,A,WBGene00061491,A
WBGene00139230,A,WBGene00027990,A,WBGene00063562,A
WBGene00139231,A,WBGene00030845,A,WBGene00054806,A
WBGene00139251,A,WBGene00037682,A,WBGene00055895,A
WBGene00139258,A,WBGene00029019,A,WBGene00055154,A
WBGene00139270,A,WBGene00025957,A,WBGene00053465,A
WBGene00139277,X,WBGene00034887,X,WBGene00051876,X
WBGene00139278,X,WBGene00034909,X,WBGene00051854,X
WBGene00139280,A,WBGene00032379,A,WBGene00054155,A
WBGene00139285,A,WBGene00038317,A,WBGene00052247,A
WBGene00139288,A,WBGene00026124,A,WBGene00077994,A
WBGene00139292,A,WBGene00039802,A,WBGene00054467,A
WBGene00139293,A,WBGene00024971,A,WBGene00062761,A
WBGene00139294,A,WBGene00039206,A,WBGene00077423,A
WBGene00139295,A,WBGene00023794,A,WBGene00067782,A
WBGene00139302,X,WBGene00035149,X,WBGene00051626,X
WBGene00139308,A,WBGene00024023,A,WBGene00053836,A
WBGene00139321,A,WBGene00039262,A,WBGene00062271,A
WBGene00139323,A,WBGene00037720,A,WBGene00055845,A
WBGene00139325,X,WBGene00032209,X,WBGene00051369,X
WBGene00139326,A,WBGene00038896,A,WBGene00060906,A
WBGene00139330,A,WBGene00028706,A,WBGene00053144,A
WBGene00139338,X,WBGene00029621,X,WBGene00058596,X
WBGene00139344,A,WBGene00032812,A,WBGene00069020,A
WBGene00139347,X,WBGene00034835,X,WBGene00051924,X
WBGene00139350,X,WBGene00036028,X,WBGene00070123,X
WBGene00139360,A,WBGene00026403,A,WBGene00061558,A
WBGene00139361,A,WBGene00038586,A,WBGene00081710,X
WBGene00139362,A,WBGene00025384,A,WBGene00057449,A
WBGene00139368,A,WBGene00039209,A,WBGene00077426,A
WBGene00139369,A,WBGene00036098,A,WBGene00060697,A
WBGene00139372,A,WBGene00040516,A,WBGene00057868,A
WBGene00139374,X,WBGene00029677,X,WBGene00058659,X
WBGene00139375,X,WBGene00036992,X,WBGene00058287,X
WBGene00139377,A,WBGene00039351,A,WBGene00056063,A
WBGene00139378,X,WBGene00029960,X,WBGene00060216,X
WBGene00139379,A,WBGene00026037,A,WBGene00053370,A
WBGene00139385,A,WBGene00037460,A,WBGene00061685,A
WBGene00139387,A,WBGene00039322,A,WBGene00066382,A
WBGene00139398,A,WBGene00027722,A,WBGene00055664,A
WBGene00139400,X,WBGene00032220,X,WBGene00051358,X
WBGene00139401,A,WBGene00031133,A,WBGene00045445,A
WBGene00139413,A,WBGene00033374,A,WBGene00059949,A
WBGene00139418,A,WBGene00026429,A,WBGene00061544,A
WBGene00139423,A,WBGene00030341,A,WBGene00052617,A
WBGene00139424,A,WBGene00033983,A,WBGene00055907,A
WBGene00139429,A,WBGene00037737,A,WBGene00055839,A
WBGene00139433,A,WBGene00030883,A,WBGene00058833,A
WBGene00139441,A,WBGene00033948,A,WBGene00054317,A
WBGene00139447,X,WBGene00034904,X,WBGene00051859,X
WBGene00139451,A,WBGene00035866,A,WBGene00065355,A
WBGene00139455,A,WBGene00037793,A,WBGene00055791,A
WBGene00139456,X,WBGene00029553,X,WBGene00058516,X
WBGene00139457,A,WBGene00087088,A,WBGene00079512,A
WBGene00139460,A,WBGene00037801,A,WBGene00055780,A
WBGene00139465,A,WBGene00027694,A,WBGene00055687,A
