Genome project	Gene stable ID	Caenorhabditis remanei [WS251] gene stable ID	Orthology confidence [0 low, 1 high]	Caenorhabditis briggsae [WS251] gene stable ID	Orthology confidence [0 low, 1 high]
caenorhabditis_briggsae	WBGene00000307	WBGene00064328	0		0
caenorhabditis_briggsae	WBGene00000312	WBGene00055241	1		0
caenorhabditis_briggsae	WBGene00000324	WBGene00058811	1		0
caenorhabditis_briggsae	WBGene00000328	WBGene00064839	1		0
caenorhabditis_briggsae	WBGene00000329	WBGene00073662	1		0
caenorhabditis_briggsae	WBGene00000329	WBGene00063901	1		0
caenorhabditis_briggsae	WBGene00000332	WBGene00052043	1		0
caenorhabditis_briggsae	WBGene00000333	WBGene00052043	1		0
caenorhabditis_briggsae	WBGene00000343	WBGene00052042	1		0
caenorhabditis_briggsae	WBGene00000365				0
caenorhabditis_briggsae	WBGene00023521	WBGene00066762	1		0
caenorhabditis_briggsae	WBGene00023522	WBGene00052212	1		0
caenorhabditis_briggsae	WBGene00023523	WBGene00060761	1		0
caenorhabditis_briggsae	WBGene00023524				0
caenorhabditis_briggsae	WBGene00023525	WBGene00066765	1		0
caenorhabditis_briggsae	WBGene00023526	WBGene00066766	1		0
caenorhabditis_briggsae	WBGene00023527	WBGene00066767	1		0
caenorhabditis_briggsae	WBGene00023528				0
caenorhabditis_briggsae	WBGene00023529	WBGene00061919	1		0
caenorhabditis_briggsae	WBGene00023529	WBGene00066775	1		0
caenorhabditis_briggsae	WBGene00023529	WBGene00061920	1		0
caenorhabditis_briggsae	WBGene00023530				0
caenorhabditis_briggsae	WBGene00023532	WBGene00065228	1		0
caenorhabditis_briggsae	WBGene00023532	WBGene00065230	1		0
caenorhabditis_briggsae	WBGene00023532	WBGene00065231	1		0
caenorhabditis_briggsae	WBGene00023532	WBGene00065227	1		0
caenorhabditis_briggsae	WBGene00023532	WBGene00065229	1		0
caenorhabditis_briggsae	WBGene00023532	WBGene00056899	1		0
caenorhabditis_briggsae	WBGene00023532	WBGene00079647	1		0
caenorhabditis_briggsae	WBGene00023532	WBGene00079635	1		0
caenorhabditis_briggsae	WBGene00023532	WBGene00079632	1		0
caenorhabditis_briggsae	WBGene00023533	WBGene00066779	1		0
caenorhabditis_briggsae	WBGene00023533	WBGene00064456	1		0
caenorhabditis_briggsae	WBGene00023534				0
caenorhabditis_briggsae	WBGene00023535	WBGene00066781	1		0
caenorhabditis_briggsae	WBGene00023536	WBGene00064078	0		0
caenorhabditis_briggsae	WBGene00023537	WBGene00064079	0		0
caenorhabditis_briggsae	WBGene00023538	WBGene00064081	1		0
caenorhabditis_briggsae	WBGene00023539	WBGene00064082	1		0
caenorhabditis_briggsae	WBGene00023540	WBGene00064083	1		0
caenorhabditis_briggsae	WBGene00023541	WBGene00064084	0		0
caenorhabditis_briggsae	WBGene00023542				0
caenorhabditis_briggsae	WBGene00023543	WBGene00064088	1		0
caenorhabditis_briggsae	WBGene00023544				0
caenorhabditis_briggsae	WBGene00023545	WBGene00064091	1		0
caenorhabditis_briggsae	WBGene00023546	WBGene00064091	1		0
caenorhabditis_briggsae	WBGene00023547	WBGene00064097	1		0
caenorhabditis_briggsae	WBGene00023548	WBGene00066786	0		0
