Genome project	Gene stable ID	Caenorhabditis remanei [WS251] gene stable ID	Homology type
caenorhabditis_brenneri	WBGene00050882	WBGene00064839	ortholog_one2one
caenorhabditis_brenneri	WBGene00138726	WBGene00072466	ortholog_one2one
caenorhabditis_brenneri	WBGene00138727	WBGene00079756	ortholog_one2many
caenorhabditis_brenneri	WBGene00138728		
caenorhabditis_brenneri	WBGene00138729		
caenorhabditis_brenneri	WBGene00138730	WBGene00071555	ortholog_one2one
caenorhabditis_brenneri	WBGene00138731	WBGene00077032	ortholog_one2many
caenorhabditis_brenneri	WBGene00138732	WBGene00063414	ortholog_many2many
caenorhabditis_brenneri	WBGene00138732	WBGene00058689	ortholog_many2many
caenorhabditis_brenneri	WBGene00138732	WBGene00064459	ortholog_many2many
caenorhabditis_brenneri	WBGene00138733	WBGene00055914	ortholog_one2many
caenorhabditis_brenneri	WBGene00138734	WBGene00068948	ortholog_one2one
caenorhabditis_brenneri	WBGene00138735		
caenorhabditis_brenneri	WBGene00138736		
caenorhabditis_brenneri	WBGene00138737	WBGene00052819	ortholog_one2many
caenorhabditis_brenneri	WBGene00138738	WBGene00063738	ortholog_one2many
caenorhabditis_brenneri	WBGene00138738	WBGene00086254	ortholog_one2many
caenorhabditis_brenneri	WBGene00138738	WBGene00063793	ortholog_one2many
caenorhabditis_brenneri	WBGene00138739	WBGene00080023	ortholog_one2many
caenorhabditis_brenneri	WBGene00138740	WBGene00056550	ortholog_one2one
caenorhabditis_brenneri	WBGene00138742	WBGene00063918	ortholog_many2many
caenorhabditis_brenneri	WBGene00138742	WBGene00073798	ortholog_many2many
caenorhabditis_brenneri	WBGene00138743	WBGene00053357	ortholog_one2many
caenorhabditis_brenneri	WBGene00138744		
caenorhabditis_brenneri	WBGene00138745		
caenorhabditis_brenneri	WBGene00138746	WBGene00071527	ortholog_one2many
caenorhabditis_brenneri	WBGene00138747	WBGene00054981	ortholog_one2one
caenorhabditis_brenneri	WBGene00138748	WBGene00069706	ortholog_one2many
caenorhabditis_brenneri	WBGene00138749		
caenorhabditis_brenneri	WBGene00138750		
caenorhabditis_brenneri	WBGene00138751	WBGene00059868	ortholog_one2many
caenorhabditis_brenneri	WBGene00138752	WBGene00079873	ortholog_one2many
caenorhabditis_brenneri	WBGene00138753	WBGene00064698	ortholog_one2one
caenorhabditis_brenneri	WBGene00138754		
caenorhabditis_brenneri	WBGene00138755	WBGene00070432	ortholog_one2one
caenorhabditis_brenneri	WBGene00138756		
caenorhabditis_brenneri	WBGene00138757	WBGene00068487	ortholog_many2many
caenorhabditis_brenneri	WBGene00138757	WBGene00060660	ortholog_many2many
caenorhabditis_brenneri	WBGene00138757	WBGene00068501	ortholog_many2many
caenorhabditis_brenneri	WBGene00138757	WBGene00070471	ortholog_many2many
caenorhabditis_brenneri	WBGene00138758	WBGene00077299	ortholog_one2one
caenorhabditis_brenneri	WBGene00138760	WBGene00052943	ortholog_many2many
caenorhabditis_brenneri	WBGene00138760	WBGene00052942	ortholog_many2many
caenorhabditis_brenneri	WBGene00138761	WBGene00058170	ortholog_one2one
caenorhabditis_brenneri	WBGene00138762		
