Genome project	Gene stable ID	Homology type	Caenorhabditis remanei [WS251] gene stable ID
caenorhabditis_briggsae	WBGene00000307	ortholog_one2one	WBGene00064328
caenorhabditis_briggsae	WBGene00000312	ortholog_one2one	WBGene00055241
caenorhabditis_briggsae	WBGene00000324	ortholog_one2one	WBGene00058811
caenorhabditis_briggsae	WBGene00000328	ortholog_one2one	WBGene00064839
caenorhabditis_briggsae	WBGene00000329	ortholog_one2many	WBGene00073662
caenorhabditis_briggsae	WBGene00000329	ortholog_one2many	WBGene00063901
caenorhabditis_briggsae	WBGene00000332	ortholog_one2many	WBGene00052043
caenorhabditis_briggsae	WBGene00000333	ortholog_one2many	WBGene00052043
caenorhabditis_briggsae	WBGene00000343	ortholog_one2one	WBGene00052042
caenorhabditis_briggsae	WBGene00000365		
caenorhabditis_briggsae	WBGene00023521	ortholog_one2one	WBGene00066762
caenorhabditis_briggsae	WBGene00023522	ortholog_one2many	WBGene00052212
caenorhabditis_briggsae	WBGene00023523	ortholog_one2one	WBGene00060761
caenorhabditis_briggsae	WBGene00023524		
caenorhabditis_briggsae	WBGene00023525	ortholog_one2one	WBGene00066765
caenorhabditis_briggsae	WBGene00023526	ortholog_one2one	WBGene00066766
caenorhabditis_briggsae	WBGene00023527	ortholog_one2one	WBGene00066767
caenorhabditis_briggsae	WBGene00023528		
caenorhabditis_briggsae	WBGene00023529	ortholog_one2many	WBGene00061919
caenorhabditis_briggsae	WBGene00023529	ortholog_one2many	WBGene00066775
caenorhabditis_briggsae	WBGene00023529	ortholog_one2many	WBGene00061920
caenorhabditis_briggsae	WBGene00023530		
caenorhabditis_briggsae	WBGene00023532	ortholog_many2many	WBGene00065228
caenorhabditis_briggsae	WBGene00023532	ortholog_many2many	WBGene00065230
caenorhabditis_briggsae	WBGene00023532	ortholog_many2many	WBGene00065231
caenorhabditis_briggsae	WBGene00023532	ortholog_many2many	WBGene00065227
caenorhabditis_briggsae	WBGene00023532	ortholog_many2many	WBGene00065229
caenorhabditis_briggsae	WBGene00023532	ortholog_many2many	WBGene00056899
caenorhabditis_briggsae	WBGene00023532	ortholog_many2many	WBGene00079647
caenorhabditis_briggsae	WBGene00023532	ortholog_many2many	WBGene00079635
caenorhabditis_briggsae	WBGene00023532	ortholog_many2many	WBGene00079632
caenorhabditis_briggsae	WBGene00023533	ortholog_one2many	WBGene00066779
caenorhabditis_briggsae	WBGene00023533	ortholog_one2many	WBGene00064456
caenorhabditis_briggsae	WBGene00023534		
caenorhabditis_briggsae	WBGene00023535	ortholog_one2many	WBGene00066781
caenorhabditis_briggsae	WBGene00023536	ortholog_one2one	WBGene00064078
